mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.024075984954833984,0.010792927335959643,0.0016413211822509765,0.0005325201459909974,0.0001,,"{'C': 0.0001, 'penalty': None}",0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9736842105263158,0.9911504424778761,0.9613879832324173,0.018036881976325338,4
0.0039843559265136715,0.0006333912458504648,0.0009999275207519531,3.900166520438868e-06,0.0001,l2,"{'C': 0.0001, 'penalty': 'l2'}",0.6228070175438597,0.6228070175438597,0.631578947368421,0.631578947368421,0.6283185840707964,0.6274181027790716,0.003948679172659169,13
0.017751741409301757,0.00264590555286926,0.0016208171844482421,0.0005110134680360993,0.001,,"{'C': 0.001, 'penalty': None}",0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9736842105263158,0.9911504424778761,0.9613879832324173,0.018036881976325338,4
0.01094818115234375,0.01206147358604781,0.0013998985290527345,0.0004877548761283187,0.001,l2,"{'C': 0.001, 'penalty': 'l2'}",0.6228070175438597,0.6228070175438597,0.631578947368421,0.631578947368421,0.6283185840707964,0.6274181027790716,0.003948679172659169,13
0.017771577835083006,0.001969390945770549,0.0012012004852294921,0.000400560963328189,0.01,,"{'C': 0.01, 'penalty': None}",0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9736842105263158,0.9911504424778761,0.9613879832324173,0.018036881976325338,4
0.004343223571777344,0.00039628889985515085,0.0014667987823486328,0.0005824403666869532,0.01,l2,"{'C': 0.01, 'penalty': 'l2'}",0.7543859649122807,0.7280701754385965,0.7543859649122807,0.8333333333333334,0.7876106194690266,0.7715572116131036,0.03620725579312849,12
0.02146296501159668,0.003955260492727029,0.002193307876586914,0.0007463917826355875,0.1,,"{'C': 0.1, 'penalty': None}",0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9736842105263158,0.9911504424778761,0.9613879832324173,0.018036881976325338,4
0.004018735885620117,6.757463933685405e-05,0.0011754989624023437,0.0004485284166740858,0.1,l2,"{'C': 0.1, 'penalty': 'l2'}",0.9122807017543859,0.9122807017543859,0.9473684210526315,0.9473684210526315,0.9646017699115044,0.9367800031051079,0.020970033051186932,11
0.017467021942138672,0.0014860212519701961,0.001598691940307617,0.00048676123809866106,1,,"{'C': 1, 'penalty': None}",0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9736842105263158,0.9911504424778761,0.9613879832324173,0.018036881976325338,4
0.0069636344909667965,0.0008766696814137249,0.0016260623931884765,0.0005926516444932877,1,l2,"{'C': 1, 'penalty': 'l2'}",0.956140350877193,0.9649122807017544,0.9736842105263158,0.956140350877193,0.9646017699115044,0.9630957925787922,0.006548870589462543,3
0.017117786407470702,0.001819470296955084,0.0013988018035888672,0.00048551455482457017,10,,"{'C': 10, 'penalty': None}",0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9736842105263158,0.9911504424778761,0.9613879832324173,0.018036881976325338,4
0.008559942245483398,0.0007354507149641605,0.0011957645416259765,0.0003987077426903136,10,l2,"{'C': 10, 'penalty': 'l2'}",0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9649122807017544,0.9911504424778761,0.9806862288464524,0.008575721161467185,1
0.020060396194458006,0.0034284771386897147,0.0015995502471923828,0.000487387899782215,100,,"{'C': 100, 'penalty': None}",0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9736842105263158,0.9911504424778761,0.9613879832324173,0.018036881976325338,4
0.01580080986022949,0.0021425349930953557,0.0013296127319335938,0.0003784159498776142,100,l2,"{'C': 100, 'penalty': 'l2'}",0.956140350877193,0.9824561403508771,0.9736842105263158,0.9736842105263158,0.9911504424778761,0.9754230709517155,0.011616237298934176,2
